DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
17-AUG-2018,2671,2677.95,2641,2661.35,331427,2661.35
16-AUG-2018,2640,2678,2630,2667.5,654766,2667.5
14-AUG-2018,2640,2656.75,2633.8,2646.4,227189,2646.4
13-AUG-2018,2628.9,2658,2606,2630.85,418212,2630.85
10-AUG-2018,2667.85,2677.2,2620,2629.7,417567,2629.7
09-AUG-2018,2665,2686.85,2641.05,2658.6,448329,2658.6
08-AUG-2018,2696,2700,2653.75,2660.6,391732,2660.6
07-AUG-2018,2700,2708.35,2681.55,2686.6,272507,2686.6
06-AUG-2018,2696,2716,2675.2,2687.9,352383,2687.9
03-AUG-2018,2688,2700,2675.4,2690.45,343259,2690.45
02-AUG-2018,2680,2699.55,2631.05,2678.6,617961,2678.6
01-AUG-2018,2717,2768,2664.1,2680.9,1408788,2680.9
31-JUL-2018,2678,2715,2661.2,2700.05,721932,2700.05
30-JUL-2018,2686.95,2699,2655.5,2673.15,546935,2673.15
27-JUL-2018,2637,2697,2630,2686.75,958294,2686.75
26-JUL-2018,2646,2666.95,2605,2618.5,1256232,2618.5
25-JUL-2018,2670,2698.3,2626,2638.6,1114670,2638.6
24-JUL-2018,2691,2725,2615,2648.65,2843387,2648.65
23-JUL-2018,2839.95,2841.6,2655,2684.15,2974676,2684.15
20-JUL-2018,3130,3153.8,2816.45,2839.6,4976986,2839.6
19-JUL-2018,3107.8,3144.4,3100,3115,755100,3115
18-JUL-2018,3104,3160.85,3101,3107.8,658396,3107.8
17-JUL-2018,3107.1,3125.95,3085,3094.2,563857,3094.2
16-JUL-2018,3137,3165,3090.95,3101.85,374574,3101.85
13-JUL-2018,3123,3156.95,3058,3138.65,852168,3138.65
12-JUL-2018,3194.9,3194.95,3070,3096.7,932430,3096.7
11-JUL-2018,3078,3174.95,3057.05,3161.6,1155857,3161.6
10-JUL-2018,3049,3114.95,3030,3093.95,959927,3093.95
09-JUL-2018,3066.6,3083,2996.6,3018.15,643119,3018.15
06-JUL-2018,2983,3078.25,2950,3020.1,1511538,3020.1
05-JUL-2018,2935,2985,2912.7,2966.95,752721,2966.95
04-JUL-2018,2869.95,2989,2855.8,2979.05,845034,2979.05
03-JUL-2018,2842.95,2882,2835,2862.4,510764,2862.4
02-JUL-2018,2815,2912,2815,2835.15,1007694,2835.15
29-JUN-2018,2720.15,2828,2720.15,2810.3,425210,2810.3
28-JUN-2018,2760,2785,2705.4,2716,417993,2716
27-JUN-2018,2822.95,2822.95,2758.2,2765.45,289628,2765.45
26-JUN-2018,2805,2822.5,2785.55,2811.95,249490,2811.95
25-JUN-2018,2839.8,2839.8,2795.2,2801.3,339572,2801.3
22-JUN-2018,2825,2836.85,2806,2832.2,553549,2832.2
21-JUN-2018,2873.05,2877.95,2822.7,2830.1,300367,2830.1
20-JUN-2018,2855.15,2879,2855.15,2869.65,502478,2869.65
19-JUN-2018,2893,2893,2838.55,2849.8,523480,2849.8
18-JUN-2018,2880,2917.7,2864.95,2895.3,427791,2895.3
15-JUN-2018,2893.45,2904,2853,2877.15,370164,2877.15
14-JUN-2018,2905,2910,2880.15,2890.7,333925,2890.7
13-JUN-2018,2908,2934,2891.55,2907.95,362419,2907.95
12-JUN-2018,2886,2912.5,2870.05,2887.25,539628,2887.25
11-JUN-2018,2886.65,2913.95,2873.8,2881.1,413241,2881.1
08-JUN-2018,2888,2900.55,2867,2874.05,269022,2874.05
07-JUN-2018,2891,2929,2862.55,2888.6,513700,2888.6
06-JUN-2018,2850,2939.4,2833.65,2885.25,654288,2885.25
05-JUN-2018,2878.5,2884.65,2840,2847.55,367916,2847.55
04-JUN-2018,2890,2922.55,2871.05,2878.5,759197,2878.5
01-JUN-2018,2780,2911.4,2778.65,2896.55,1799352,2896.55
31-MAY-2018,2775,2784.95,2734.1,2750.3,447005,2750.3
30-MAY-2018,2794,2794,2757,2762.9,345195,2762.9
29-MAY-2018,2805.9,2834.95,2761.65,2796.05,261407,2796.05
28-MAY-2018,2762,2812,2751,2790.15,160044,2790.15
25-MAY-2018,2754.95,2775.6,2723,2758.5,298273,2758.5
24-MAY-2018,2770,2814.6,2716.15,2732.8,275197,2732.8
23-MAY-2018,2821.8,2832.15,2766,2774.95,243631,2774.95
22-MAY-2018,2730,2826,2725.05,2808.5,512096,2808.5
21-MAY-2018,2774.95,2774.95,2703.5,2720.55,393470,2720.55
18-MAY-2018,2845,2915,2755.6,2787.5,1811320,2787.5
17-MAY-2018,2821,2830.1,2787,2815.45,162490,2815.45
16-MAY-2018,2813,2826.8,2785.3,2811.9,262982,2811.9
15-MAY-2018,2819,2877,2807.75,2823.65,256661,2823.65
14-MAY-2018,2830,2850,2792.5,2831.95,142564,2831.95
11-MAY-2018,2845,2845,2801,2815.45,286976,2815.45
10-MAY-2018,2882,2894.95,2820.05,2827.5,222907,2827.5
09-MAY-2018,2890,2904.7,2865.1,2872,155763,2872
