DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
17-AUG-2018,2082.9,2093.05,2071.65,2077.35,1516332,2077.35
16-AUG-2018,2083,2086.7,2066.4,2075.7,2656290,2075.7
14-AUG-2018,2098,2105,2087.2,2089.1,1233991,2089.1
13-AUG-2018,2084,2103.95,2080,2091.65,2513563,2091.65
10-AUG-2018,2123.5,2123.8,2098,2114.45,1360735,2114.45
09-AUG-2018,2142,2142,2094.65,2118.5,2236102,2118.5
08-AUG-2018,2135.85,2151.8,2133.05,2136.35,2486345,2136.35
07-AUG-2018,2125,2134.5,2108,2130.9,1857114,2130.9
06-AUG-2018,2121,2137.4,2106.1,2114.3,1436158,2114.3
03-AUG-2018,2133.55,2147.05,2114,2121.65,3401002,2121.65
02-AUG-2018,2153.5,2153.7,2121.35,2130.2,2226426,2130.2
01-AUG-2018,2162.8,2175,2151.7,2158.7,1517890,2158.7
31-JUL-2018,2160,2185.9,2150.05,2179.5,2215236,2179.5
30-JUL-2018,2199,2199,2159.4,2169.9,1792280,2169.9
27-JUL-2018,2201.95,2211.95,2184.7,2202.15,2638649,2202.15
26-JUL-2018,2165,2203.45,2165,2192.6,5320273,2192.6
25-JUL-2018,2164.65,2176.8,2160,2170.35,1759654,2170.35
24-JUL-2018,2147,2169,2147,2159.75,1302198,2159.75
23-JUL-2018,2150,2178,2138.05,2156.45,4220033,2156.45
20-JUL-2018,2186.1,2202.85,2171.1,2189.05,2501741,2189.05
19-JUL-2018,2183,2193.5,2171,2186.1,1326194,2186.1
18-JUL-2018,2187,2220,2173.65,2176.2,4365068,2176.2
17-JUL-2018,2163.25,2181,2163.25,2176.75,1590481,2176.75
16-JUL-2018,2179.4,2190.05,2163.75,2168.85,2254334,2168.85
13-JUL-2018,2168.4,2190.8,2163.1,2180.9,1790297,2180.9
12-JUL-2018,2152.9,2179.85,2152,2165.95,2005167,2165.95
11-JUL-2018,2145.05,2155.7,2134.8,2148.25,1464480,2148.25
10-JUL-2018,2129.9,2149.6,2125,2146.4,2737684,2146.4
09-JUL-2018,2121.85,2130,2107.75,2125.65,1545574,2125.65
06-JUL-2018,2113.3,2135.55,2111.35,2115.15,2030336,2115.15
05-JUL-2018,2105,2129,2092.55,2123.75,2433992,2123.75
04-JUL-2018,2076.25,2108.05,2069,2103.55,1524498,2103.55
03-JUL-2018,2073.25,2085,2065.6,2070.2,1715775,2070.2
02-JUL-2018,2108.35,2108.4,2063.25,2073.25,2466219,2073.25
29-JUN-2018,2121.7,2140,2105.1,2108.45,4864530,2108.45
28-JUN-2018,2115,2140,2111.2,2130.85,9383385,2130.85
27-JUN-2018,2093,2119.5,2090,2112.6,4781701,2112.6
26-JUN-2018,2086.05,2103,2079.85,2093.7,2290483,2093.7
25-JUN-2018,2083.05,2097.8,2073.05,2094.95,1748084,2094.95
22-JUN-2018,2056.95,2088.8,2049.85,2083.35,1962245,2083.35
21-JUN-2018,2060,2070.8,2047.05,2057.6,3377676,2057.6
20-JUN-2018,2026,2058,2025,2056.15,2262928,2056.15
19-JUN-2018,2024.95,2040.7,2019.3,2023.5,2745288,2023.5
18-JUN-2018,2030.1,2038.8,2009.1,2019.15,1871851,2019.15
15-JUN-2018,2026,2038.9,2022.3,2029.6,2720204,2029.6
14-JUN-2018,2030,2045,2025,2037.4,4231894,2037.4
13-JUN-2018,2052,2054.8,2024.1,2031.45,1974490,2031.45
12-JUN-2018,2051.9,2052.7,2038.4,2043.85,1308564,2043.85
11-JUN-2018,2051.9,2062.95,2038.8,2042.3,1772797,2042.3
08-JUN-2018,2059,2061.25,2035,2049.35,1545222,2049.35
07-JUN-2018,2073.2,2079.8,2053.2,2062.2,2640974,2062.2
