DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
17-AUG-2018,463.4,465.7,459.5,461.3,1013707,461.3
16-AUG-2018,468,468.8,459.95,461.2,512635,461.2
14-AUG-2018,464.1,471,464,468.1,959947,468.1
13-AUG-2018,465,468.7,460.65,464.1,1107202,464.1
10-AUG-2018,466.9,468,459.05,464.9,2171685,464.9
09-AUG-2018,471,474.7,463.25,465.95,1444553,465.95
08-AUG-2018,478.1,479.75,465.55,468,1535027,468
07-AUG-2018,485.85,486.95,476,478.1,666377,478.1
06-AUG-2018,489.5,491,481.5,485.4,1237540,485.4
03-AUG-2018,495.4,504.75,483.2,486.4,1248163,486.4
02-AUG-2018,495.65,504.25,490.55,493.1,551346,493.1
01-AUG-2018,500.3,502.6,494,495.75,444268,495.75
31-JUL-2018,493,504.9,488,502.7,896975,502.7
30-JUL-2018,507,507.4,492.65,495.2,1042844,495.2
27-JUL-2018,490,510.8,490,508.4,2140712,508.4
26-JUL-2018,494,495.9,486,489.4,559055,489.4
25-JUL-2018,480,495.75,478.45,494.35,1598485,494.35
24-JUL-2018,484.05,488,470.05,480.15,1128826,480.15
23-JUL-2018,497,498,478.55,482.95,1379264,482.95
20-JUL-2018,471.8,493.7,468.3,489.6,3641559,489.6
19-JUL-2018,471.95,474.45,468.2,471,581747,471
18-JUL-2018,468,478,466,473.9,1274708,473.9
17-JUL-2018,460,470.65,455.55,464.5,1332222,464.5
16-JUL-2018,471.8,472.5,457.5,459.85,801423,459.85
13-JUL-2018,481,482.7,470,471.55,569549,471.55
12-JUL-2018,471.55,483,471.3,479.1,953274,479.1
11-JUL-2018,475.1,476.7,468,468.9,401838,468.9
10-JUL-2018,477.95,482,473.2,475.7,679839,475.7
09-JUL-2018,473,479.9,471.35,474.6,712689,474.6
06-JUL-2018,462,471.95,460.1,468.7,663491,468.7
05-JUL-2018,460.45,469.8,457.8,461.75,555727,461.75
04-JUL-2018,460,464.45,456.1,460,481896,460
03-JUL-2018,458,464.5,453.25,459.3,415286,459.3
02-JUL-2018,457.75,464.5,450.6,458.35,803747,458.35
29-JUN-2018,462.05,465,454,456.15,1002424,456.15
28-JUN-2018,467.95,467.95,458,460.75,466930,460.75
27-JUN-2018,468.5,470.8,461.5,468.7,593999,468.7
26-JUN-2018,465.05,470.6,456,467.8,1248575,467.8
25-JUN-2018,471.5,475.9,466.1,467.2,539959,467.2
22-JUN-2018,473.8,473.8,469.1,471.4,527118,471.4
21-JUN-2018,475,476,468,472.4,660819,472.4
20-JUN-2018,477,478.55,471.2,473.4,568306,473.4
19-JUN-2018,476.3,483.2,471.3,474.75,911179,474.75
18-JUN-2018,469.95,485,469.9,479.2,1504101,479.2
15-JUN-2018,482.9,487,465.45,469.75,13594222,469.75
14-JUN-2018,491,491,479,481.5,1006376,481.5
13-JUN-2018,504,505,490.25,491.25,1003539,491.25
12-JUN-2018,488,507.6,486.2,503.2,2776666,503.2
11-JUN-2018,475.7,488,474.65,485.85,2410561,485.85
08-JUN-2018,470.55,476,466.1,472.15,2205834,472.15
07-JUN-2018,471,475.7,468,470.55,1350574,470.55
06-JUN-2018,465.5,471.55,461,467.2,1023144,467.2
05-JUN-2018,467.25,479,462.2,464.35,1227934,464.35
04-JUN-2018,490.75,491.8,472.5,473.85,1150250,473.85
01-JUN-2018,491.65,492.85,485.05,488.85,1060120,488.85
31-MAY-2018,506.45,508.8,486.4,491.15,1419549,491.15
30-MAY-2018,492,505,484.6,501.2,1480953,501.2
29-MAY-2018,491.4,497.7,489.55,494.25,957169,494.25
28-MAY-2018,485.65,493.35,483.05,491.25,1975352,491.25
25-MAY-2018,478.7,487.5,473.55,481.5,1596757,481.5
24-MAY-2018,478.8,484.2,470,475.05,1958399,475.05
23-MAY-2018,483,485.4,475.1,476.35,1261911,476.35
22-MAY-2018,491.95,496.7,480,481.6,1469055,481.6
21-MAY-2018,493.95,501.5,487.25,489.65,1332552,489.65
18-MAY-2018,497.6,497.8,485.1,493.95,1158565,493.95
17-MAY-2018,498.2,503.25,492.2,494.3,1338372,494.3
16-MAY-2018,502.25,509.5,495.2,497.55,2261791,497.55
15-MAY-2018,522,525.55,495,506.5,7490877,506.5
14-MAY-2018,526,548.25,524.85,540,2848754,540
11-MAY-2018,517.65,524.95,516.1,523.3,1183632,523.3
10-MAY-2018,517,520.9,509.5,517.65,1447761,517.65
09-MAY-2018,511.9,518,511,514.75,1600419,514.75
08-MAY-2018,503.3,513.95,499,509.95,1444181,509.95
07-MAY-2018,502.55,504.8,497.2,499.9,1484565,499.9
04-MAY-2018,490.1,504.9,490.1,500.35,1276630,500.35
03-MAY-2018,510.55,510.9,493,496,1926354,496
02-MAY-2018,520.75,525.3,508.1,509.95,1474785,509.95
30-APR-2018,520,525.75,514.3,518.05,1988145,518.05
27-APR-2018,537.9,546.85,517,519.15,2924033,519.15
26-APR-2018,512.95,536.8,512.95,533.05,4445968,533.05
25-APR-2018,499,514.9,495,510.6,3740225,510.6
24-APR-2018,495.8,503,489.1,499.55,2176962,499.55
23-APR-2018,496.4,496.85,489,493.6,1348271,493.6
20-APR-2018,502.8,503.25,494,495.65,1683866,495.65
19-APR-2018,501,511,497.1,503.5,4279631,503.5
18-APR-2018,496,500.25,488,493.15,1042991,493.15
17-APR-2018,497.5,500.3,486,491.3,1325820,491.3
16-APR-2018,495.7,500.3,492.75,494.75,839503,494.75
13-APR-2018,500.25,501.55,497.6,499.8,990964,499.8
12-APR-2018,500,501.5,497.4,499.6,870497,499.6
11-APR-2018,501.5,507.7,495,499.75,2556799,499.75
10-APR-2018,494.95,505.9,492.1,503.55,1439138,503.55
09-APR-2018,496.45,510.9,490,492,2704392,492
06-APR-2018,497.8,504.4,494,496.35,1505952,496.35
05-APR-2018,501.8,505.85,487.05,497.95,1710038,497.95
04-APR-2018,495,504,488.9,495.85,1687239,495.85
03-APR-2018,484.8,508.3,482.2,493.6,3149584,493.6
02-APR-2018,456.6,487,456.6,482.65,2112175,482.65
28-MAR-2018,442.5,460,442.5,454.45,1217753,454.45
27-MAR-2018,440.05,449.4,440.05,448.65,1231929,448.65
26-MAR-2018,429,439,427.25,437.55,675696,437.55
23-MAR-2018,420,431,416.1,429.15,939860,429.15
22-MAR-2018,426.8,429.75,424.2,427.5,1267475,427.5
