DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
17-AUG-2018,3315,3319.7,3235.55,3242.3,284947,3242.3
16-AUG-2018,3262,3304.45,3235.1,3282.65,274268,3282.65
14-AUG-2018,3317,3333,3253.6,3266.35,249075,3266.35
13-AUG-2018,3300,3347,3277.15,3308.2,293422,3308.2
10-AUG-2018,3299.9,3340,3262.35,3319.4,356538,3319.4
09-AUG-2018,3306,3343.65,3262,3281.35,440547,3281.35
08-AUG-2018,3298,3322.4,3287.05,3299.05,234708,3299.05
07-AUG-2018,3304,3329.95,3268.05,3297.75,248243,3297.75
06-AUG-2018,3279,3309,3251.05,3297.1,338084,3297.1
03-AUG-2018,3270,3282.45,3229,3250.55,311563,3250.55
02-AUG-2018,3296,3296,3218.25,3263.7,352679,3263.7
01-AUG-2018,3296,3333.35,3257.15,3280.4,463790,3280.4
31-JUL-2018,3215,3302,3191.05,3294.45,753969,3294.45
30-JUL-2018,3223,3228,3175,3209.95,317977,3209.95
27-JUL-2018,3150,3238.4,3132.05,3203.95,820125,3203.95
26-JUL-2018,3082,3189.95,3068.05,3136.75,1770364,3136.75
25-JUL-2018,3147.05,3164.8,3061.65,3110.05,964916,3110.05
24-JUL-2018,3173.8,3205.45,3033.75,3108.25,1620867,3108.25
23-JUL-2018,3383,3386.8,3087,3165.45,1902639,3165.45
20-JUL-2018,3452,3489,3322,3376.95,560441,3376.95
19-JUL-2018,3506.05,3508,3440,3451.1,147907,3451.1
18-JUL-2018,3500,3515,3473.2,3506.15,211820,3506.15
17-JUL-2018,3415,3514.6,3398.55,3488.6,318577,3488.6
16-JUL-2018,3465,3466,3416.35,3426,183060,3426
13-JUL-2018,3520,3523.7,3444,3455.9,310931,3455.9
12-JUL-2018,3569,3570,3484,3498.85,456469,3498.85
11-JUL-2018,3554.85,3564.5,3524,3536.6,377121,3536.6
10-JUL-2018,3644.8,3644.8,3574.8,3583.5,470962,3583.5
09-JUL-2018,3659.95,3662.9,3597.15,3611.5,314206,3611.5
