DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
17-AUG-2018,1741.1,1788.6,1731.75,1784.75,1420289,1784.75
16-AUG-2018,1741,1751.95,1730.6,1737.4,638454,1737.4
14-AUG-2018,1729,1759.3,1729,1744.25,850399,1744.25
13-AUG-2018,1739,1756.5,1725.75,1728.85,691024,1728.85
10-AUG-2018,1750,1763.6,1741.5,1752.7,730724,1752.7
09-AUG-2018,1761.5,1765,1738.2,1754.2,939345,1754.2
08-AUG-2018,1728,1763,1721.35,1757.15,1423256,1757.15
07-AUG-2018,1730.8,1742,1724,1730.05,863577,1730.05
06-AUG-2018,1760,1760,1715.05,1730.3,1629015,1730.3
03-AUG-2018,1754,1767.35,1746.9,1763,758933,1763
02-AUG-2018,1742.25,1759.75,1739,1748.5,1127209,1748.5
01-AUG-2018,1732.95,1743,1718.6,1734.3,1191134,1734.3
31-JUL-2018,1690,1737.45,1681.7,1731.65,1877744,1731.65
30-JUL-2018,1666.25,1692,1651,1688.7,1237254,1688.7
27-JUL-2018,1670,1674.8,1641.45,1659,1030665,1659
26-JUL-2018,1655,1679.65,1645.05,1669.95,2088548,1669.95
25-JUL-2018,1671,1679.45,1638.25,1652.95,1526620,1652.95
24-JUL-2018,1700,1709.7,1662.45,1667.9,1084438,1667.9
23-JUL-2018,1668.95,1702.95,1660.55,1689.65,1382893,1689.65
20-JUL-2018,1655.9,1671.45,1628.8,1655.85,1734748,1655.85
19-JUL-2018,1651.9,1670,1643.65,1647.45,1457149,1647.45
18-JUL-2018,1693,1699.7,1627,1643.75,2372869,1643.75
17-JUL-2018,1767,1780,1678.2,1681.7,6188478,1681.7
16-JUL-2018,1749.8,1779,1743.85,1751.25,2218046,1751.25
13-JUL-2018,1742,1750.05,1724,1742.65,976456,1742.65
12-JUL-2018,1720,1749.4,1718.25,1742.35,1471465,1742.35
11-JUL-2018,1685,1721,1679.05,1718.15,1158397,1718.15
10-JUL-2018,1693.25,1698.85,1678.1,1687,1093651,1687
09-JUL-2018,1682,1696,1674,1691.9,773248,1691.9
06-JUL-2018,1689,1697.65,1672.4,1678.3,1458899,1678.3
05-JUL-2018,1679,1692.35,1668.4,1688,1449303,1688
04-JUL-2018,1642,1682.4,1639.65,1676,1244751,1676
03-JUL-2018,1645,1661.1,1635,1643.5,1381265,1643.5
02-JUL-2018,1640.9,1647.75,1625.05,1643.45,1099574,1643.45
29-JUN-2018,1605.45,1645,1605.45,1641.15,1722592,1641.15
28-JUN-2018,1610,1620.5,1596,1602.75,1177218,1602.75
27-JUN-2018,1629,1656.65,1598.35,1609.3,2251405,1609.3
26-JUN-2018,1615,1630.8,1614.25,1621.75,759142,1621.75
25-JUN-2018,1616,1629,1607.4,1615.15,1082199,1615.15
22-JUN-2018,1592,1610.7,1581,1608.1,1098709,1608.1
21-JUN-2018,1594,1610.5,1588,1593.45,1185462,1593.45
20-JUN-2018,1597,1617.6,1597,1602.4,1535703,1602.4
19-JUN-2018,1603.6,1612,1589.7,1601,1118708,1601
18-JUN-2018,1629.95,1639,1603.5,1608.55,846403,1608.55
15-JUN-2018,1590,1628.9,1590,1621.3,2101892,1621.3
14-JUN-2018,1617.8,1644,1598.3,1609.6,1348038,1609.6
13-JUN-2018,1644,1644.75,1619.5,1621.2,845842,1621.2
12-JUN-2018,1604.8,1645,1590.4,1638.45,1707972,1638.45
11-JUN-2018,1596,1617,1584.4,1601.4,905198,1601.4
08-JUN-2018,1599.9,1601.25,1581.5,1595.6,760059,1595.6
07-JUN-2018,1575,1606.7,1575,1603.05,1479204,1603.05
06-JUN-2018,1561.1,1579,1557.45,1571.15,1085135,1571.15
05-JUN-2018,1564,1573,1547.05,1562.8,1531015,1562.8
04-JUN-2018,1590,1590,1558,1563.2,857157,1563.2
01-JUN-2018,1613,1624.4,1581.1,1588.85,1444570,1588.85
31-MAY-2018,1595,1617.65,1579.7,1611.45,3315162,1611.45
30-MAY-2018,1569.5,1594.8,1557,1585.8,1089156,1585.8
29-MAY-2018,1575.55,1597.8,1563.7,1572.7,944652,1572.7
28-MAY-2018,1585,1585.7,1576,1582.85,563972,1582.85
25-MAY-2018,1566,1591.25,1557.3,1575.75,968884,1575.75
24-MAY-2018,1570.1,1571.65,1550.05,1561.1,915840,1561.1
23-MAY-2018,1567,1586.3,1561,1568.1,891664,1568.1
22-MAY-2018,1565.75,1588.95,1558.2,1574.3,1137466,1574.3
21-MAY-2018,1613,1619.4,1573.05,1578.65,1510806,1578.65
18-MAY-2018,1563.3,1612.5,1563.3,1605.8,2041908,1605.8
17-MAY-2018,1574.1,1596.4,1560.25,1569.8,2082393,1569.8
