DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
17-AUG-2018,164.5,165,162.5,163.05,4754545,163.05
16-AUG-2018,165.9,166.6,163.85,164.45,4184404,164.45
14-AUG-2018,166.35,167,164.85,166.25,3791016,166.25
13-AUG-2018,168.9,168.9,165.5,166.05,3731211,166.05
10-AUG-2018,169.4,170.9,168.15,169.25,4341382,169.25
09-AUG-2018,172.55,172.9,168.35,168.9,4437178,168.9
08-AUG-2018,167.6,172.9,167.6,172.5,7991348,172.5
07-AUG-2018,170,170,166.55,167.55,4300164,167.55
06-AUG-2018,167.1,169.7,166.8,169.25,5159560,169.25
03-AUG-2018,170.4,171,166.2,166.8,12172870,166.8
02-AUG-2018,169.4,170.8,165.25,166.4,7825776,166.4
01-AUG-2018,165.25,168.75,165.15,167.2,4618179,167.2
31-JUL-2018,165.8,166.75,163,165.7,6815180,165.7
30-JUL-2018,161.45,166.45,161.15,164.1,9599714,164.1
27-JUL-2018,162.5,162.8,160.15,161.3,3542015,161.3
26-JUL-2018,159.2,164,158.2,162.55,8778489,162.55
25-JUL-2018,157.75,160.75,157.25,159.05,4063454,159.05
24-JUL-2018,157.2,158.2,155.85,157.2,3943002,157.2
23-JUL-2018,158.05,158.75,154.8,156.55,4553137,156.55
20-JUL-2018,161.75,162,156.6,157.95,5475594,157.95
19-JUL-2018,162.7,165.2,160.8,161.75,8472466,161.75
18-JUL-2018,156.9,164.8,156.85,160.3,16571981,160.3
17-JUL-2018,153.25,156.85,152.45,156.15,3952416,156.15
16-JUL-2018,155.7,156.15,153.05,153.8,3680440,153.8
13-JUL-2018,159.05,159.05,153.6,154.1,3523600,154.1
12-JUL-2018,159.6,160.2,154.75,158.95,8165181,158.95
11-JUL-2018,158,158.75,156.5,158.1,6653936,158.1
10-JUL-2018,158.5,159.8,157.35,157.95,5276248,157.95
09-JUL-2018,156,158.4,155.2,157.4,4379183,157.4
06-JUL-2018,156.9,157.35,155.25,155.45,3633191,155.45
05-JUL-2018,156,157.6,154.2,156.4,6807718,156.4
04-JUL-2018,157.8,158,155.05,156,5194030,156
03-JUL-2018,155.05,161.6,154.7,157.7,12087830,157.7
02-JUL-2018,157.85,158,153.5,155.5,9196529,155.5
29-JUN-2018,155.15,159.35,154.15,158.4,7079407,158.4
28-JUN-2018,156.3,158.6,151.8,153.5,17670403,153.5
27-JUN-2018,158.35,158.85,154.45,156.25,7034207,156.25
26-JUN-2018,156.4,158.9,156.05,158.3,5960446,158.3
25-JUN-2018,160.35,160.7,156.1,156.65,5899032,156.65
22-JUN-2018,160.65,160.65,158.65,159.55,5371207,159.55
21-JUN-2018,163.7,163.7,158.25,159.7,12638114,159.7
20-JUN-2018,165,165,162.15,162.75,5768211,162.75
19-JUN-2018,165.4,166.8,163.5,164.8,4413184,164.8
18-JUN-2018,164.9,167.4,163.25,164.6,4390244,164.6
15-JUN-2018,166.4,168.3,164.55,165.45,7589493,165.45
14-JUN-2018,169.5,170.8,167,168.5,4188442,168.5
13-JUN-2018,170.8,172,168.6,170,5321172,170
12-JUN-2018,172.85,175.6,170.8,171.4,4564556,171.4
11-JUN-2018,174.05,174.3,172.5,173.3,3192749,173.3
08-JUN-2018,174,174.9,172.1,173.7,4323567,173.7
07-JUN-2018,170.1,173.75,170.1,172.65,5086661,172.65
06-JUN-2018,171.25,172.25,169.8,170.3,3331408,170.3
05-JUN-2018,170.5,172.3,169.2,171.2,5918946,171.2
04-JUN-2018,175.4,175.4,170.4,171.1,5294603,171.1
01-JUN-2018,176,176,170.6,173.2,9847581,173.2
31-MAY-2018,177.7,180.35,175.05,177.9,23822373,177.9
30-MAY-2018,175.4,178.5,172.7,174,12554659,174
29-MAY-2018,176.2,177.4,173.25,175.55,11015160,175.55
28-MAY-2018,175,178.8,173.7,175.6,8087040,175.6
25-MAY-2018,166,176.2,162.85,175.45,12361678,175.45
24-MAY-2018,175.6,176.1,155.15,167.7,34819270,167.7
23-MAY-2018,183.9,185.35,174.3,175.4,5590802,175.4
22-MAY-2018,186.2,188.5,184,185.2,3796268,185.2
21-MAY-2018,186.45,188.65,185.2,185.75,3380355,185.75
18-MAY-2018,189,191.75,184.6,185.05,4488003,185.05
17-MAY-2018,185.95,189.4,184.95,188.6,4519306,188.6
16-MAY-2018,188.95,188.95,175.8,186.2,8348946,186.2
15-MAY-2018,189,192,184.2,189,5877427,189
14-MAY-2018,187.5,188.5,184.85,187.25,3255344,187.25
11-MAY-2018,188.55,189,186.3,187.5,4926216,187.5
10-MAY-2018,184.45,189.35,183.5,188.25,10328901,188.25
09-MAY-2018,184.4,185.75,182.2,182.85,3075560,182.85
08-MAY-2018,184.85,186.15,179.45,183.1,5730645,183.1
07-MAY-2018,181.25,184.5,180.8,183.9,4799480,183.9
04-MAY-2018,181.8,185.15,179.55,180.25,5325720,180.25
03-MAY-2018,179.95,182.35,179.7,181.1,2796713,181.1
02-MAY-2018,181.5,181.5,179.25,180.05,4157973,180.05
30-APR-2018,178.5,181.95,178.3,180.55,3335191,180.55
27-APR-2018,180.95,183,179.55,180.7,4687951,180.7
26-APR-2018,179.45,181.8,177.3,180.8,6742459,180.8
25-APR-2018,181.6,182.45,178.7,179.45,3629856,179.45
24-APR-2018,182.1,183.05,181.5,182.65,4080212,182.65
23-APR-2018,183.4,183.75,179.4,181.05,3930421,181.05
20-APR-2018,185,185,181.1,182.35,1618027,182.35
19-APR-2018,183.25,186.25,181.75,183.95,5004280,183.95
18-APR-2018,181.05,182.95,181,182.1,3279393,182.1
17-APR-2018,181.75,182.1,179.3,180.8,2721706,180.8
16-APR-2018,182.2,182.35,179.8,181.5,2308502,181.5
13-APR-2018,181.8,183.5,181.1,182.5,3050131,182.5
12-APR-2018,183.15,184,181,181.75,4277125,181.75
11-APR-2018,181.5,185.4,180.35,182.15,11607043,182.15
10-APR-2018,179.4,180.6,178.2,180.2,5180326,180.2
09-APR-2018,177.1,179.15,176.3,178.4,4046065,178.4
06-APR-2018,179.35,179.35,176.4,176.95,3633964,176.95
05-APR-2018,176.5,177.9,175.45,177.45,5375271,177.45
04-APR-2018,178.5,178.5,174.7,175.4,3353172,175.4
03-APR-2018,177.7,179.2,176.4,177.5,3552271,177.5
02-APR-2018,179.1,180.9,178.4,179.95,2235832,179.95
28-MAR-2018,178.5,179,176.1,177.8,6229049,177.8
27-MAR-2018,180.55,181.1,177.25,179.6,3823981,179.6
26-MAR-2018,179.45,179.45,176,178.9,4169998,178.9
23-MAR-2018,176.2,179.55,176.15,177.4,6884971,177.4
22-MAR-2018,177,181.7,176.55,178.9,8348549,178.9
21-MAR-2018,175.7,177.3,173.65,175.55,4055822,175.55
