DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
17-AUG-2018,422.8,427,422.05,423.55,159455,423.55
16-AUG-2018,422.7,426.55,417.15,419.65,191029,419.65
14-AUG-2018,426.05,430.65,422.2,424.35,210079,424.35
13-AUG-2018,427.8,429.7,421.3,423.8,224642,423.8
10-AUG-2018,442,445.7,430.5,432,299329,432
09-AUG-2018,433,448,430.15,444.25,841834,444.25
08-AUG-2018,429.8,434.45,425.05,430.2,294593,430.2
07-AUG-2018,435.85,435.85,426.25,428.5,234527,428.5
06-AUG-2018,435.9,437,426.5,432,293129,432
03-AUG-2018,429.85,441.4,429,432.9,412367,432.9
02-AUG-2018,430.5,433.4,421.75,426.7,420961,426.7
01-AUG-2018,437.95,440.8,426.2,431.45,345385,431.45
31-JUL-2018,425.75,443.9,423.1,436.1,995210,436.1
30-JUL-2018,423.8,428.7,421.4,424.05,332969,424.05
27-JUL-2018,415.95,425.9,413.6,420.7,425483,420.7
26-JUL-2018,421.7,423,411,412.6,299038,412.6
25-JUL-2018,422,425,418.1,419.7,254398,419.7
24-JUL-2018,415,423,413.75,419.05,389349,419.05
23-JUL-2018,408.85,415.7,407,413,196586,413
20-JUL-2018,405.9,414,402.55,408.3,279795,408.3
19-JUL-2018,415.1,417.5,402.15,404.65,283832,404.65
18-JUL-2018,421.15,423.7,410.1,414.2,186948,414.2
17-JUL-2018,412,423.5,410.25,419.55,236277,419.55
16-JUL-2018,421.1,427.05,411.35,413.15,169193,413.15
13-JUL-2018,436,437.8,421.2,424.65,383006,424.65
12-JUL-2018,430,447.65,429.8,433.85,871925,433.85
11-JUL-2018,435.95,438.9,427.2,431.85,351932,431.85
10-JUL-2018,436,441.4,432,435.1,388060,435.1
09-JUL-2018,424.45,443.8,422.1,434.05,807846,434.05
06-JUL-2018,419,425.85,418.5,419.55,291617,419.55
05-JUL-2018,422.7,431.8,415.35,418.65,431489,418.65
04-JUL-2018,419.2,423.7,416.35,419.1,241309,419.1
03-JUL-2018,417,424.45,413.05,418.5,276236,418.5
02-JUL-2018,424.5,425.95,411.15,416.35,209246,416.35
29-JUN-2018,418,428.45,415.5,423.05,304922,423.05
28-JUN-2018,423.95,428,411.55,414.5,385342,414.5
27-JUN-2018,428,441.75,419.1,422.1,645056,422.1
26-JUN-2018,431.8,438.5,426.5,429.3,236261,429.3
25-JUN-2018,437.65,443,432.2,433.9,228278,433.9
22-JUN-2018,440,450.5,434.55,438.5,490057,438.5
21-JUN-2018,450.35,459,441,443.05,763108,443.05
20-JUN-2018,424,461.7,424,452.15,1839884,452.15
19-JUN-2018,432.2,436.75,421.1,424.8,292412,424.8
18-JUN-2018,445.5,447.8,433.2,436,254897,436
15-JUN-2018,455,463,446.15,449.8,382486,449.8
14-JUN-2018,452.95,464.4,450.35,457.8,625128,457.8
13-JUN-2018,448,467.7,444.5,453.75,1234930,453.75
12-JUN-2018,455.5,466.2,442.4,448.3,1231821,448.3
11-JUN-2018,413,473,412.25,459.3,3206603,459.3
08-JUN-2018,409.65,414.5,405.95,411.2,209970,411.2
07-JUN-2018,404.95,417.25,404.15,411.65,284497,411.65
06-JUN-2018,401.75,405.45,394.65,402.9,211445,402.9
05-JUN-2018,410.85,413.7,396.05,400.8,162897,400.8
04-JUN-2018,415.2,417.6,407.1,410.05,197890,410.05
01-JUN-2018,421.75,422.45,410.25,412.9,164975,412.9
31-MAY-2018,424.1,429.1,415,418.25,217303,418.25
30-MAY-2018,419.8,426.4,416.25,421.2,224955,421.2
29-MAY-2018,416.1,434,415.25,422.45,369978,422.45
28-MAY-2018,410.6,422,410.6,418.1,226250,418.1
25-MAY-2018,402.1,414,402.1,408.85,189088,408.85
24-MAY-2018,404.4,407.9,399.25,403.1,207444,403.1
23-MAY-2018,404.8,417.95,401.4,402.55,252802,402.55
22-MAY-2018,403.5,409.6,396.95,405.3,154752,405.3
21-MAY-2018,416.1,417.5,401.5,403.2,161435,403.2
18-MAY-2018,420.3,426,413.3,415,158338,415
17-MAY-2018,418.2,431.05,410,422.9,356716,422.9
16-MAY-2018,413,423.8,413,417.85,137417,417.85
15-MAY-2018,419.8,434.8,415.5,420.4,212417,420.4
14-MAY-2018,431,431.7,417.5,419.95,203356,419.95
11-MAY-2018,435,436.5,428.15,431,134480,431
10-MAY-2018,443.95,444.95,430.3,432.55,236449,432.55
09-MAY-2018,440.1,448.55,440.1,442,183974,442
08-MAY-2018,444.4,453.4,440.55,442.35,194140,442.35
07-MAY-2018,441.85,451,438.1,445.75,261732,445.75
04-MAY-2018,442.1,445.1,435.1,439.5,158547,439.5
03-MAY-2018,446.5,448,438,443.1,144950,443.1
02-MAY-2018,458,463.6,445.25,449.35,238886,449.35
30-APR-2018,457.5,461.95,454.35,457.55,189103,457.55
27-APR-2018,461.9,467.95,455.1,457.5,260268,457.5
26-APR-2018,455,461.85,452.2,459,289050,459
25-APR-2018,460,468,452.3,454.3,398002,454.3
24-APR-2018,455.3,470,448.25,464.95,531808,464.95
23-APR-2018,456.65,461.5,452,453.75,255953,453.75
20-APR-2018,463.1,464.6,451.1,455.95,243519,455.95
19-APR-2018,466.4,471,462.55,465.6,247426,465.6
18-APR-2018,469.3,472,460.8,463.6,358680,463.6
17-APR-2018,468,475,461,467.7,382842,467.7
16-APR-2018,455.9,471.6,451.85,468.6,537057,468.6
13-APR-2018,460,469.8,454.5,458.75,335872,458.75
12-APR-2018,473.3,474.5,465.05,468.5,231310,468.5
11-APR-2018,466.5,475.25,464.25,471.6,397321,471.6
10-APR-2018,471.8,474.4,462.5,465.95,264903,465.95
09-APR-2018,474.5,477.95,467.5,470.9,309030,470.9
06-APR-2018,462,481.2,459.05,472.5,972951,472.5
05-APR-2018,454.7,462.8,453,460.45,365146,460.45
04-APR-2018,463.95,471.85,444.1,447.25,598128,447.25
03-APR-2018,454,468,453,461.7,654317,461.7
02-APR-2018,437,464.7,435.1,461.1,775121,461.1
28-MAR-2018,433.9,440.8,429,433.4,277592,433.4
27-MAR-2018,434,444.9,433.1,437.5,393916,437.5
26-MAR-2018,425.4,436.15,420.5,431.95,363805,431.95
23-MAR-2018,426.95,431.65,420.1,424.25,342248,424.25
22-MAR-2018,450.95,453,436.85,439.7,250043,439.7
21-MAR-2018,445,457,442.55,447.45,344794,447.45
20-MAR-2018,436,451,432,443.3,441297,443.3
19-MAR-2018,459.4,459.5,438,440.7,356134,440.7
16-MAR-2018,471.3,474.8,453,458.15,517456,458.15
15-MAR-2018,461.4,488,461.25,471.2,1700529,471.2
14-MAR-2018,432.5,466.5,431.15,457.7,890684,457.7
13-MAR-2018,429.85,445.45,427.95,435.6,447894,435.6
12-MAR-2018,425.85,432,417.2,429.15,265039,429.15
09-MAR-2018,433.95,437.9,416,421.65,383704,421.65
08-MAR-2018,436,437,423,431.75,366651,431.75
07-MAR-2018,441.05,442.75,427.25,430.55,342187,430.55
06-MAR-2018,455.95,459.2,440.75,443.65,248865,443.65
05-MAR-2018,459.95,459.95,445.5,451.7,210000,451.7
01-MAR-2018,472.8,476,460.1,462.2,237698,462.2
28-FEB-2018,470.15,477.8,467.6,472.15,249134,472.15
27-FEB-2018,487,489.8,477.15,480.35,260027,480.35
26-FEB-2018,483.9,491.3,481.1,485.15,385077,485.15
23-FEB-2018,472.05,484,472,479.55,318872,479.55
22-FEB-2018,472,477.6,467,470.7,232477,470.7
21-FEB-2018,480,482,475.1,477.9,205677,477.9
20-FEB-2018,482.9,486.5,475,476.85,344361,476.85
19-FEB-2018,489,497.4,470,480.9,467993,480.9
16-FEB-2018,501,502.4,481.5,486.25,315698,486.25
15-FEB-2018,508,516.35,490.6,495.55,466803,495.55
14-FEB-2018,499.5,519.9,499.5,505.7,713748,505.7
12-FEB-2018,484.35,509.85,483.75,495.25,849564,495.25
09-FEB-2018,462.15,489.2,457.05,479.5,586937,479.5
08-FEB-2018,463.5,491.9,462,479.2,768657,479.2
07-FEB-2018,464.9,478.4,458,460.15,585311,460.15
06-FEB-2018,450,467,436,457.25,496864,457.25
05-FEB-2018,475,491.5,465.45,482.75,533352,482.75
02-FEB-2018,520,522,487.8,491.85,545031,491.85
01-FEB-2018,540.95,544,520.2,530.1,534857,530.1
31-JAN-2018,534.9,572,527.15,540.9,1064259,540.9
30-JAN-2018,537.8,539,523,527.55,345969,527.55
29-JAN-2018,549,558.45,537.1,539.1,356294,539.1
25-JAN-2018,555,561.8,542.35,546.85,323270,546.85
24-JAN-2018,569,569,549.5,553.1,322778,553.1
23-JAN-2018,576,582.4,565.6,569.6,462414,569.6
22-JAN-2018,563.4,582,559.55,574.15,842198,574.15
19-JAN-2018,561,567.35,546.15,560.75,541987,560.75
18-JAN-2018,588,602.45,555.75,559.75,626170,559.75
17-JAN-2018,588.45,591,563.65,583.2,626617,583.2
16-JAN-2018,627.45,629,585.1,587.95,697547,587.95
15-JAN-2018,625.4,637.9,620.3,623,511627,623
12-JAN-2018,644.95,646.75,613.5,628.2,916667,628.2
11-JAN-2018,652,677.9,635.85,641.05,3259662,641.05
10-JAN-2018,628.55,636.8,615.05,620.7,555345,620.7
09-JAN-2018,637.9,642.2,625.4,628.45,780426,628.45
08-JAN-2018,640,650.4,631.9,636.9,1050684,636.9
05-JAN-2018,624.8,660.7,618.6,638.15,2107320,638.15
04-JAN-2018,641.55,644.8,617.9,620.85,998799,620.85
03-JAN-2018,660,665.45,632.3,639.9,2052300,639.9
02-JAN-2018,650,683.5,636,659.75,7766481,659.75
01-JAN-2018,543,647.7,542,640.3,8266293,640.3
29-DEC-2017,546,550.7,537.1,539.75,369828,539.75
28-DEC-2017,543.05,554.4,537.25,542.15,713506,542.15
27-DEC-2017,541,561,535.6,541.6,1028909,541.6
26-DEC-2017,528.7,543,525.25,537.4,637427,537.4
22-DEC-2017,529.2,537.4,523.9,526.55,433853,526.55
21-DEC-2017,524.4,533.7,522.25,527.7,427732,527.7
20-DEC-2017,519.75,531.5,517.2,524.4,499408,524.4
19-DEC-2017,509.8,521.9,508,516.95,406679,516.95
18-DEC-2017,507.2,513.95,462.1,504.1,342965,504.1
15-DEC-2017,516,522,498.05,507.75,260460,507.75
14-DEC-2017,520.4,522.95,507,510.4,291635,510.4
13-DEC-2017,526.15,531,515,518.1,434981,518.1
12-DEC-2017,526.4,539.75,522.05,524.9,684374,524.9
11-DEC-2017,529.6,533.5,523.1,525.3,261796,525.3
08-DEC-2017,527.55,533.4,527,527.85,375404,527.85
07-DEC-2017,522.8,530.9,522.8,526.2,329373,526.2
06-DEC-2017,523,530.5,518.6,520.95,441629,520.95
05-DEC-2017,522.8,530.9,515.65,525.7,559112,525.7
04-DEC-2017,531,534,518.25,522.85,459843,522.85
01-DEC-2017,539.9,551.5,523.15,526.25,684380,526.25
30-NOV-2017,544.9,549.45,535.75,538.65,930083,538.65
29-NOV-2017,559.95,568.95,547.6,550.95,702883,550.95
28-NOV-2017,569.95,574.7,556.2,558.7,1173476,558.7
27-NOV-2017,566.6,582.4,562,568.85,2121623,568.85
24-NOV-2017,548,586,548,573.45,4076733,573.45
23-NOV-2017,553.7,576,545.1,550.6,2394222,550.6
22-NOV-2017,531,573.8,526.5,564.1,3274512,564.1
21-NOV-2017,556.9,558,521,529.55,1555924,529.55
20-NOV-2017,498.4,566.8,498.4,558.9,3692706,558.9
17-NOV-2017,485.85,494,483.05,485.4,271122,485.4
16-NOV-2017,472.5,484,466.35,480.8,354000,480.8
15-NOV-2017,490.5,494.4,462.05,470.15,337258,470.15
14-NOV-2017,494.5,498,489,490.45,198328,490.45
13-NOV-2017,491.35,505.8,488,491.6,241850,491.6
10-NOV-2017,496.8,499.95,484.65,489.6,200374,489.6
09-NOV-2017,500,509.1,490.5,496.95,272924,496.95
08-NOV-2017,509.1,514.8,492.2,496.9,285978,496.9
07-NOV-2017,530.4,536.95,504.4,507.95,448328,507.95
06-NOV-2017,538,541.4,527.15,528.45,353508,528.45
03-NOV-2017,541.6,549.5,535.15,538.05,525960,538.05
02-NOV-2017,527.5,551.9,525.5,537.85,1154650,537.85
01-NOV-2017,526.8,538,525,526.45,477496,526.45
31-OCT-2017,526.35,531.9,522.15,524.2,352432,524.2
30-OCT-2017,525.35,535.55,523.2,524.95,302049,524.95
27-OCT-2017,527.95,536,522.1,523.9,358643,523.9
26-OCT-2017,525,538.9,522,527.9,435632,527.9
25-OCT-2017,538.9,546.9,523.25,526.2,730889,526.2
24-OCT-2017,523,539,518,532.85,1099338,532.85
23-OCT-2017,513.9,529.8,511.05,520.4,502760,520.4
18-OCT-2017,509.9,541.5,507.65,522.7,1079390,522.7
17-OCT-2017,512.45,521.9,508.4,510.7,461793,510.7
16-OCT-2017,514.95,523.3,508.2,511.85,310010,511.85
13-OCT-2017,520,525.8,511.9,513.7,459673,513.7
12-OCT-2017,515,529.5,507.35,521.45,579669,521.45
11-OCT-2017,535.7,542,502,511.35,654552,511.35
10-OCT-2017,537.9,547.2,530.5,533.25,583926,533.25
09-OCT-2017,529.9,551.85,527.55,535.05,1266664,535.05
06-OCT-2017,536.8,544.9,525.4,529.2,1027938,529.2
05-OCT-2017,485.7,552,484.95,534.75,3310598,534.75
04-OCT-2017,486.2,492.8,480,484.3,302208,484.3
03-OCT-2017,488.5,494.9,483,485.5,365364,485.5
29-SEP-2017,485.5,496.6,481,483.15,601727,483.15
28-SEP-2017,482.4,491.9,475.3,483.2,501054,483.2
27-SEP-2017,505.55,506.25,476.5,481.1,549606,481.1
26-SEP-2017,487,514.7,485,501.5,1166955,501.5
25-SEP-2017,500.9,505.25,473,485.3,805806,485.3
22-SEP-2017,530.3,536.15,496.5,500.2,872186,500.2
21-SEP-2017,560.7,564.75,530.1,537.3,1331840,537.3
20-SEP-2017,582.9,602,555.2,559.7,3956301,559.7
19-SEP-2017,490.75,577.7,485.1,570.4,6649407,570.4
18-SEP-2017,481.4,495.8,480.05,488.7,600192,488.7
15-SEP-2017,486.2,487.75,472,476.9,422499,476.9
14-SEP-2017,488,497.85,484.05,487.8,385213,487.8
13-SEP-2017,488.25,513.05,481.75,486.2,1625691,486.2
12-SEP-2017,487,496,482.75,488.55,587007,488.55
11-SEP-2017,485,496,478,485.8,580144,485.8
08-SEP-2017,487.7,502.8,475.7,480.2,1061716,480.2
07-SEP-2017,481,504.6,478.25,485.75,1715833,485.75
06-SEP-2017,432.55,493.9,431,479.55,2324365,479.55
05-SEP-2017,434.85,439.7,431.3,437,163367,437
04-SEP-2017,441.8,445.8,421.65,431.6,231695,431.6
01-SEP-2017,434,452.9,433.95,442.1,441200,442.1
31-AUG-2017,425.3,435,425.3,433.1,290090,433.1
30-AUG-2017,417.05,431.95,417.05,428,269867,428
29-AUG-2017,413.95,427.25,411.25,414.2,218500,414.2
